global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,113,2814,28,215,0.49441716987947126,0.8782776594161987,0.20703306414203962
6553,190,2788,54,138,0.6401951566273485,0.005228010937571526,0.1855462457854855
6978,218,2761,81,110,0.662895019084725,0.0004017974715679884,0.18712577836453723
10467,239,2744,98,89,0.6859305984962771,0.10724128037691116,0.25432420662943034
13106,242,2752,90,86,0.7023647594121037,0.0008779719355516136,0.17938871707007617
13956,238,2745,97,90,0.6850605081020065,0.012521181255578995,0.19931326398464835
17445,203,2784,58,125,0.6631577438541807,0.003725060261785984,0.24578566855682946
19659,244,2750,92,84,0.7040007854128915,0.03304667770862579,0.19756661328182204
20934,223,2762,80,105,0.6751196513346281,9.856578981271014e-05,0.3124127347507585
24423,207,2770,72,121,0.651217048650379,0.002149885753169656,0.2986301052756417
26212,212,2757,85,116,0.6443009395624838,4.1722367313923314e-05,0.3163213893824394
27912,244,2725,117,84,0.6737683516908097,0.0037587082479149103,0.38016525975806287
31401,207,2777,65,121,0.6614249032402668,0.000531309109646827,0.3924964878638975
32765,194,2787,55,134,0.6476847742158849,0.21002720296382904,0.36454989101058305
34890,238,2734,108,90,0.6716139436515519,0.005581209436058998,0.41926141476242107
38379,191,2787,55,137,0.6408755955013097,0.004265026655048132,0.44636882406395456
39318,223,2765,77,105,0.679230509593881,0.0003483224136289209,0.4216802182960988
41868,231,2751,91,97,0.6777677953815823,0.0010099213104695082,0.4324960008207016
45357,206,2779,63,122,0.6621959155387014,0.00010657678649295121,0.4166528140286717
45871,226,2765,77,102,0.6856877387649477,1.418580359313637e-05,0.45475430859536004
48846,224,2768,74,104,0.6855521298483163,8.530228660674766e-05,0.434066271122732
52335,199,2773,69,129,0.6376400398023736,1.3545060937758535e-05,0.5107461892682091
52424,203,2777,65,125,0.652532079794369,1.5775234714965336e-05,0.48906705870465644
55824,221,2765,77,107,0.6749050329034078,4.9601279897615314e-05,0.5206615911650808
58977,202,2772,70,126,0.642934487954278,8.861185051500797e-06,0.5576520984527187
59313,219,2756,86,109,0.6583610770292483,0.00019342868472449481,0.5434478579963865
62802,206,2770,72,122,0.6489915803282366,0.00012627341493498534,0.5162085956816524
65530,227,2759,83,101,0.6796923807613819,7.669102160434704e-06,0.5585373372591458
66291,231,2755,87,97,0.682965634074186,0.00013837323058396578,0.5574024449548939
69780,218,2769,73,110,0.6739802237798446,1.0028385986515786e-05,0.5773590256714901
72083,214,2769,73,114,0.6652456337635192,6.198863502504537e-06,0.5565919206344604
73269,224,2764,78,104,0.6800115124944373,1.7851396478363313e-05,0.5773180835408163
76758,217,2772,70,111,0.6760741334607194,5.7071283663390204e-06,0.5913525412280475
78636,217,2771,71,111,0.6746435607782724,1.1404256838432048e-05,0.5890474351050325
