global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
3489,138,2808,34,190,0.5495992496979153,0.09617799520492554,0.15322251149402785
6553,193,2790,52,135,0.6502307073616637,0.003029990941286087,0.17140702980832062
6978,234,2766,76,94,0.70410107123264,0.02248997800052166,0.19628784150263895
10467,165,2816,26,163,0.6321735304470792,0.3354598879814148,0.19592111647518773
13106,220,2769,73,108,0.6783215505962314,0.04261978343129158,0.18845366733427268
13956,264,2682,160,64,0.6698133369181938,0.00784155260771513,0.2882605857465697
17445,205,2783,59,123,0.666052774439673,0.0009509538649581373,0.2459506300640413
19659,225,2763,79,103,0.6807969835251433,1.198527216911316,0.21537658977634577
20934,209,2770,72,119,0.6556539676984944,0.00031923974165692925,0.3041996444543535
24423,205,2778,64,123,0.6584791916489274,0.00031703454442322254,0.29475904124843116
26212,208,2775,67,120,0.6606855085293084,0.009136482141911983,0.3112262091454894
27912,219,2766,76,109,0.6719503930942861,0.44923731684684753,0.37834885263782553
31401,174,2794,48,154,0.612960235246568,0.0001811244583223015,0.4202291258089812
32765,196,2781,61,132,0.6428474602549,0.014563929289579391,0.3633974252024698
34890,235,2748,94,93,0.6824688203576409,0.0027018694672733545,0.38681852362936503
38379,193,2789,53,135,0.6486181462661574,7.04932608641684e-05,0.4218516276748922
39318,203,2783,59,125,0.6616155573619923,0.0011646152706816792,0.4038259249610295
41868,226,2754,88,102,0.6709199582579548,5.381676601245999e-05,0.4957671073520541
45357,205,2769,73,123,0.6453298297290573,6.497578579001129e-05,0.4463897910316001
45871,209,2775,67,119,0.6628950624867728,0.0001167676891782321,0.4411292555541808
48846,225,2761,81,103,0.678079614058729,1.1738555431365967,0.46913855483407424
52335,209,2775,67,119,0.6628950624867728,0.2127949446439743,0.4664527517276657
52424,206,2777,65,122,0.6592088416553029,1.2040051842632238e-05,0.5266130462948448
55824,237,2730,112,91,0.6647404630202729,1.3410950487013906e-05,0.585265969319778
58977,205,2778,64,123,0.6584791916489274,5.773281372967176e-05,0.5773417896349197
59313,220,2763,79,108,0.6699824380898266,1.6718942788429558e-05,0.5300230574078144
62802,205,2772,70,123,0.6496462239940042,1.3083132216706872e-05,0.5607295462995415
65530,204,2775,67,124,0.6518003201459849,1.815930227166973e-05,0.5767058166633209
66291,209,2762,80,119,0.6444340131294938,2.64191457972629e-05,0.6004612946024176
69780,194,2783,59,134,0.6414029205595833,8.061494554567616e-06,0.6209935540064122
72083,216,2760,82,112,0.6571598713285602,0.3416788876056671,0.6171512429480788
73269,227,2751,91,101,0.6691750717825002,2.378180215600878e-05,0.5930485954283153
76758,212,2763,79,116,0.6524576489218957,0.00010492697765585035,0.6191503050746953
78636,209,2765,77,119,0.6485902640955439,9.576429874869063e-06,0.6241950817508506
